VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/04/2018 08:03:51 PM,09/04/2018 08:15:19 PM,1,3.1,1,N,238,68,1,11,0.5,0.5,1,0,0.3,13.3
2,09/04/2018 08:17:52 PM,09/04/2018 08:28:14 PM,1,2.49,1,N,68,231,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,09/04/2018 08:48:04 PM,09/04/2018 09:12:22 PM,1,5.13,1,N,13,161,2,20,0.5,0.5,0,0,0.3,21.3
1,09/04/2018 08:18:03 PM,09/04/2018 08:28:42 PM,1,1.2,1,N,170,162,1,8,1,0.5,1.95,0,0.3,11.75
1,09/04/2018 08:31:24 PM,09/04/2018 08:37:06 PM,1,1.4,1,N,229,236,1,6.5,0.5,0.5,1.56,0,0.3,9.36
1,09/04/2018 08:53:34 PM,09/04/2018 09:01:28 PM,1,1,1,N,170,186,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,09/04/2018 08:09:19 PM,09/04/2018 08:27:23 PM,6,6.29,1,N,161,13,1,20.5,0.5,0.5,3,0,0.3,24.8
2,09/04/2018 08:42:16 PM,09/04/2018 08:50:45 PM,6,1.72,1,N,249,13,2,8,0.5,0.5,0,0,0.3,9.3
2,09/04/2018 08:03:28 PM,09/04/2018 08:08:18 PM,1,0.57,1,N,90,90,1,5,0.5,0.5,1.26,0,0.3,7.56
2,09/04/2018 08:17:40 PM,09/04/2018 08:28:49 PM,1,2.38,1,N,114,170,1,10.5,0.5,0.5,3.54,0,0.3,15.34
4,09/04/2018 08:34:49 PM,09/04/2018 08:39:54 PM,1,0.81,1,N,163,43,1,5.5,0.5,0.5,1.7,0,0.3,8.5
1,09/04/2018 08:16:13 PM,09/04/2018 08:23:47 PM,1,1.4,1,N,163,48,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,09/04/2018 08:31:55 PM,09/04/2018 08:38:21 PM,1,1.2,1,N,170,237,1,6.5,0.5,0.5,1.55,0,0.3,9.35
2,09/04/2018 08:39:43 PM,09/04/2018 08:58:44 PM,1,5.33,5,N,234,265,1,45,0,0,11.16,10.5,0.3,66.96
1,09/04/2018 08:11:17 PM,09/04/2018 08:16:55 PM,1,0.9,1,N,144,231,1,5.5,0.5,0.5,1,0,0.3,7.8
1,09/04/2018 08:18:56 PM,09/04/2018 08:28:02 PM,1,2.9,1,Y,231,79,1,11,0.5,0.5,2.45,0,0.3,14.75
1,09/04/2018 08:36:20 PM,09/04/2018 08:44:32 PM,1,1.3,1,N,148,249,1,7.5,0.5,0.5,1.75,0,0.3,10.55
1,09/04/2018 08:47:49 PM,09/04/2018 09:07:12 PM,1,4.1,1,N,125,17,1,16,0.5,0.5,3.46,0,0.3,20.76
2,09/04/2018 08:06:59 PM,09/04/2018 08:11:31 PM,1,0.76,1,N,143,239,1,5,0.5,0.5,1.58,0,0.3,7.88
2,09/04/2018 08:23:35 PM,09/04/2018 08:33:32 PM,1,2.41,1,N,237,75,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,09/04/2018 08:37:44 PM,09/04/2018 08:38:19 PM,1,0.17,1,N,75,75,2,2.5,0.5,0.5,0,0,0.3,3.8
2,09/04/2018 08:46:48 PM,09/04/2018 08:52:23 PM,1,0.96,1,N,237,162,1,6,0.5,0.5,1.46,0,0.3,8.76
2,09/04/2018 08:57:34 PM,09/04/2018 09:02:25 PM,1,1.05,1,N,237,237,1,5.5,0.5,0.5,1.7,0,0.3,8.5
